danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.648,0.82,-4.656,0.115,0.0286,0.0,0.157,0.468,162.12,3EYrbFn9oDfMiM6VPKzsHg,148348,5
0.895,0.694,-4.384,0.275,0.176,0.0,0.292,0.632,93.944,6Tsu3OsuMz4KEGKbOYd6A0,230000,4
0.895,0.763,-7.267,0.261,0.239,2.72e-06,0.314,0.525,129.994,2IvrIIvwA3zEPXmJitBlJD,194445,4
0.598,0.854,-4.805,0.142,0.329,0.0,0.115,0.734,169.877,3iv6vnd22VAJ9e8yHlYDxU,167538,2
0.84,0.938,-4.992,0.0806,0.0717,0.000196,0.256,0.746,135.971,47gFO4wiq9rLJo9vz0DP3q,137647,2
0.559,0.85,-5.276,0.0596,0.0118,1.57e-05,0.115,0.33,155.064,77y3caTFtC3n4tGgyPUF87,202399,5
0.615,0.833,-4.775,0.041,0.0815,0.0,0.147,0.738,123.065,19q4E2u3rzR09HOmksZVLT,171841,2
0.579,0.87,-5.909,0.198,0.0268,0.0,0.446,0.557,123.892,2DyOstPCEqOJfBA4tcMC6t,149055,0
0.458,0.831,-2.187,0.0654,0.0031,0.0,0.337,0.572,81.531,1NghHeg0wE32eBYrQBVQXL,232213,5
0.613,0.935,-2.653,0.0404,0.0255,0.0,0.184,0.859,77.498,54eE5H6F1HhyM5L4fRLq8s,170371,2
0.597,0.837,-6.518,0.375,0.00427,0.00115,0.839,0.447,126.342,1xNcBAoUw8Hz6LqK2jt4Ff,171360,0
0.379,0.647,-7.72,0.197,0.214,0.0,0.125,0.342,217.648,2IsKaRJ7UvvJWevayDVrcC,204027,5
0.832,0.803,-5.371,0.202,0.227,0.0,0.4,0.888,137.919,08hb9bPoilzJiXuWt340HA,149674,2
0.606,0.877,-6.037,0.0517,0.0455,0.000284,0.204,0.15,144.084,5eWGJhvvNtwwvRHbosi4Cd,131475,5
0.321,0.64,-10.023,0.0324,0.28,0.0,0.718,0.414,146.172,27RYrbL6S02LNVhDWVl38b,214333,0
0.599,0.871,-5.326,0.0529,0.0106,0.0,0.317,0.575,128.073,1u0vQfpkbTKMTmkO0lLDer,163477,2
0.762,0.797,-4.921,0.036,0.0399,0.0,0.187,0.88,134.001,5qohmSGvEXHzK4s9s7zOz8,192293,2
0.782,0.565,-7.221,0.136,0.113,0.000634,0.0954,0.137,134.962,1z9NVyu6rOFQR57vA94xbR,202709,5
0.715,0.62,-6.005,0.0484,0.417,0.0,0.0822,0.172,97.95,2dHHgzDwk4BJdRwy9uXhTO,221520,1
